Match ID,Fighter_total,odds_total,ev_total,date_total,location_total,country_total,winner_total,weight_class_total,gender_total,no_of_rounds_total,total_draw,total_losses,total_win_by_KO/TKO,total_win_by_submission,total_win_by_TKO_Doctor_stoppage,total_wins,total_stance,total_height,total_reach,total_weight,total_age,finish
133,Jared Hamman,-185,54.05405405,9/15/2010,"Austin, Texas, USA", USA,0,Light Heavyweight,MALE,3,0,1,0,0,0,1,Orthodox,190.5,190.5,185,28,U-DEC
134,Tomasz Drwal,-155,64.51612903,9/15/2010,"Austin, Texas, USA", USA,0,Middleweight,MALE,3,0,2,2,1,0,3,Orthodox,185.42,193.04,205,28,U-DEC
135,Rich Attonito,168,168,9/15/2010,"Austin, Texas, USA", USA,1,Middleweight,MALE,3,0,0,1,0,0,1,Orthodox,177.8,182.88,170,33,U-DEC
136,TJ Waldburger,140,140,9/15/2010,"Austin, Texas, USA", USA,1,Welterweight,MALE,3,0,0,0,0,0,0,Orthodox,180.34,190.5,170,22,U-DEC
137,Brian Foster,-240,41.66666667,9/15/2010,"Austin, Texas, USA", USA,1,Welterweight,MALE,3,0,2,1,0,0,1,Orthodox,175.26,180.34,170,26,KO/TKO
138,Frank Mir,-210,47.61904762,9/25/2010,"Indianapolis, Indiana, USA", USA,1,Heavyweight,MALE,3,0,5,2,7,0,11,Southpaw,190.5,200.66,264,31,
139,Rogerio Nogueira,160,160,9/25/2010,"Indianapolis, Indiana, USA", USA,0,Light Heavyweight,MALE,3,0,0,1,0,0,2,Southpaw,187.96,190.5,205,34,U-DEC
140,Matt Serra,125,125,9/25/2010,"Indianapolis, Indiana, USA", USA,0,Welterweight,MALE,3,0,6,2,1,0,7,Orthodox,167.64,172.72,170,36,U-DEC
141,Sean Sherk,167,167,9/25/2010,"Indianapolis, Indiana, USA", USA,1,Lightweight,MALE,3,0,4,0,1,1,7,Orthodox,167.64,170.18,155,37,S-DEC
142,Melvin Guillard,-105,95.23809524,9/25/2010,"Indianapolis, Indiana, USA", USA,1,Lightweight,MALE,3,0,4,4,0,1,7,Orthodox,175.26,172.72,155,27,S-DEC
143,CB Dollaway,-255,39.21568627,9/25/2010,"Indianapolis, Indiana, USA", USA,1,Middleweight,MALE,3,0,2,1,1,0,4,Orthodox,187.96,193.04,185,27,SUB
144,Matt Mitrione,-174,57.47126437,9/25/2010,"Indianapolis, Indiana, USA", USA,1,Heavyweight,MALE,3,0,0,2,0,0,2,Switch,190.5,200.66,265,32,U-DEC
